등록외국인 국적별·지역별 현황(2021. 3. 31. 현재)                                     ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시도,시군구,성별,총합계,한국계중국인,베트남,중국,우즈베키스탄,필리핀,캄보디아,네팔,인도네시아,타이,미국,몽골,미얀마,일본,스리랑카,타이완,카자흐스탄,방글라데시,러시아(연방),파키스탄,인도,영국,캐나다,키르기즈,프랑스,말레이시아,우크라이나,이집트,나이지리아,남아프리카공화국,티모르민주공화국,독일,홍콩,오스트레일리아,시리아,한국계러시아인,터키,모로코,가나,이란,예멘공화국,라오스,에티오피아,카메룬,이탈리아,브라질,사우디아라비아,뉴질랜드,스페인,아일랜드,싱가포르,멕시코,라이베리아,타지키스탄,우간다,리비아,알제리,네덜란드,콜롬비아,폴란드,케냐,페루,요르단,스웨덴,벨기에,아프가니스탄,세네갈,이라크,투르크메니스탄,튀니지,기니,스위스,수단,르완다,탄자니아,콩고민주공화국,그리스,에콰도르,벨로루시,말리,아랍에미리트연합,노르웨이,루마니아,오스트리아,덴마크,아제르바이잔,핀란드,헝가리,코트디부아르,칠레,이스라엘,베네수엘라,포르투갈,앙골라,감비아,불가리아,체코,아르헨티나,부룬디,무국적,잠비아,짐바브웨,마카오,리투아니아,파라과이,시에라리온,가봉,파나마,과테말라,슬로바크,크로아티아,조지아,영국외지민,아르메니아,세르비아,도미니카공화국,볼리비아,코스타리카,모잠비크,엘살바도르,팔레스타인,라트비아,피지,부르키나파소,몰도바,토고,브루나이,온두라스,미등록국가,자메이카,쿠웨이트,오만,에스토니아,슬로베니아,국제연합,아이티,레바논,니카라과,쿠바,알바니아,남수단공화국,우루과이,말라위,마다가스카르,콩고,부탄,카타르,기니비사우,키프로스,트리니다드토바고,소말리아,보츠와나,베냉,룩셈부르크,모리셔스,에리트레아,차드,에스와티니,세인트크리스토퍼네비스,키리바시,바레인,몰타,모리타니,마케도니아,아이슬란드,몬테네그로,니제르,적도기니,중앙아프리카공화국,보스니아-헤르체고비나,바누아투,바하마,레소토,도미니카연방,가이아나,파푸아뉴기니,코소보,솔로몬군도,세이셸,벨리즈,몰디브,팔라우,통가,지부티,나우루,홍콩거주난민,투발루,코모로,수리남,세인트루시아,바베이도스,리히텐슈타인,나미비아
총합계,총계,총계,"1,106,502","264,560","181,958","173,200","45,395","39,729","39,080","36,818","32,143","29,875","26,698","24,309","24,131","22,842","19,746","18,104","14,393","13,265","12,073","10,504","9,438","4,124","4,102","3,953","3,484","3,316","2,669","2,512","2,381","2,331","2,076","1,993","1,771","1,624","1,526","1,443","1,404","1,231","1,117","1,092","1,035","1,035",971,847,834,824,724,691,656,577,571,570,490,484,475,446,433,416,380,366,366,363,358,340,331,324,321,320,274,271,270,265,250,242,236,228,217,210,209,208,204,202,192,189,184,183,181,171,169,160,149,143,142,139,137,123,122,122,116,101,91,88,81,77,75,74,67,65,65,62,61,61,61,60,58,57,56,51,50,49,48,48,46,46,46,44,43,42,38,37,36,33,33,32,32,31,31,31,28,25,25,24,24,24,22,22,21,20,19,18,18,18,16,15,13,12,11,11,11,8,8,8,8,8,7,7,7,6,5,5,5,4,4,4,4,3,3,3,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1
강원도,총계,총계,"17,041","1,168","4,567","2,127",703,737,793,"1,200",684,704,362,534,376,546,200,377,174,203,372,88,165,71,77,80,14,27,15,16,17,95,4,28,7,25,37,7,30,19,14,14,2,32,24,21,9,5,1,8,4,12,1,8,3,9,19,,6,5,8,4,12,5,1,,4,6,2,6,1,4,1,4,1,21,19,6,,3,6,2,,1,1,4,1,1,3,2,,2,,1,3,1,1,1,2,1,11,,4,5,,,1,,,,3,,,,,1,1,1,,,,,,2,,,,,1,,,5,,,,,,,,,1,1,11,,,,,1,,,1,,,,2,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,강릉시,총계,"2,280",101,906,292,56,78,57,73,99,62,28,40,8,38,18,81,40,14,135,6,21,12,13,16,1,4,4,5,,19,1,2,1,2,,,3,1,2,2,,5,2,,1,1,,3,,1,,2,,,2,,1,1,,1,3,1,,,,,,,,1,,1,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,강릉시,남성,"1,189",45,458,126,34,20,28,66,88,17,10,13,8,4,18,47,19,11,77,5,17,6,8,14,,3,3,4,,7,1,2,1,,,,2,,2,1,,2,2,,1,,,1,,1,,1,,,,,1,1,,1,2,1,,,,,,,,,,1,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,강릉시,여성,"1,091",56,448,166,22,58,29,7,11,45,18,27,,34,,34,21,3,58,1,4,6,5,2,1,1,1,1,,12,,,,2,,,1,1,,1,,3,,,,1,,2,,,,1,,,2,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,고성군,총계,"1,097",22,224,14,43,12,10,384,107,3,12,3,7,11,24,,19,72,3,11,44,,2,,,,,,,2,,,,,1,1,1,,,,1,,,2,,,,,,,,,3,,11,,,1,,,6,,,,,,,,,,,,,11,9,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,고성군,남성,819,11,160,5,38,2,7,281,107,,6,1,7,,23,,9,64,2,9,43,,2,,,,,,,1,,,,,1,,1,,,,1,,,1,,,,,,,,,2,,4,,,1,,,4,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,고성군,여성,278,11,64,9,5,10,3,103,,3,6,2,,11,1,,10,8,1,2,1,,,,,,,,,1,,,,,,1,,,,,,,,1,,,,,,,,,1,,7,,,,,,2,,,,,,,,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,동해시,총계,886,67,195,109,13,30,38,7,69,22,12,26,116,15,53,10,15,,63,2,,3,5,1,1,1,,1,,6,,,,2,,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
강원도,동해시,남성,544,38,90,54,11,3,30,6,68,6,4,7,116,2,53,4,5,,34,2,,2,1,,,,,1,,3,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
