국적(지역) 및 체류자격별 장단기체류외국인(2021. 4. 30.현재),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,단 기 체 류 자 격,,,,,  장 기 체 류 자 격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
대륙,국적,성별,총합계,B1(사증면제),B2(관광통과),C1(일시취재),C3(단기방문),C4(단기취업),D1(문화예술),D2(유학),D3(기술연수),D4(일반연수),D5(취재),D6(종교),D7(주재),D8(기업투자),D9(무역경영),D10(구직),E1(교수),E2(회화),E3(연구),E4(기술지도),E5(전문직업),E6(예술흥행),E7(특정활동),E8(계절근로),E9(비전문취업),E10(선원취업),F1(방문동거),F2(거주),F3(동반),F4(재외동포),F5(영주),F6(결혼이민),G1(기타),H1(관광취업),H2(방문취업),T1(관광상륙),T2(조건부입국허가),기타,,,,,
총합계,총계,총계,"1,990,228","173,214","48,202",20,"106,998","2,950",37,"110,159","1,695","48,871",115,"1,277","1,098","5,677","2,098","8,843","2,182","12,700","3,285",206,313,"3,084","20,017",63,"222,492","17,403","99,955","43,331","20,098","470,449","163,384","134,194","31,902",614,"142,011",254,2,"91,035",,,,,
아시아주,총계,총계,"1,709,987","159,935","25,329",17,"103,657","1,968",23,"101,421","1,693","46,083",76,819,709,"4,210","1,028","7,923",916,439,"2,796",43,74,"2,175","16,286",63,"222,382","17,403","92,522","40,724","14,450","376,680","158,997","122,201","22,302",271,"140,820",234,1,"23,317",,,,,
아시아주,한국계중국인,총계,"622,843",,36,1,"4,291",,2,904,223,57,1,1,8,46,1,11,2,,4,,,1,12,,584,1,"18,023","11,567",43,"353,155","97,424","17,235",244,,"114,885",,,"4,081",,,,,
아시아주,한국계중국인,남성,"326,180",,19,,"2,558",,,376,137,29,1,1,7,28,,3,1,,2,,,1,9,,332,1,"8,136","5,575",14,"177,409","52,373","6,967",174,,"69,307",,,"2,720",,,,,
아시아주,한국계중국인,여성,"296,663",,17,1,"1,733",,2,528,86,28,,,1,18,1,8,1,,2,,,,3,,252,,"9,887","5,992",29,"175,746","45,051","10,268",70,,"45,578",,,"1,361",,,,,
아시아주,중국,총계,"242,244",,"18,356",,"40,563",571,8,"43,679",545,"5,223",26,34,265,969,165,"2,359",185,267,289,,,93,"7,965",,"1,730","2,171","29,143","16,580","1,196",,"34,652","23,946","3,447",,"5,627",203,,"1,987",,,,,
아시아주,중국,남성,"113,023",,"11,999",,"27,546",546,4,"16,897",376,"2,589",12,10,203,762,142,948,83,24,203,,,45,"5,372",,"1,522","2,171","11,652","6,253",362,,"11,861","4,531","2,264",,"3,587",118,,941,,,,,
아시아주,중국,여성,"129,221",,"6,357",,"13,017",25,4,"26,782",169,"2,634",14,24,62,207,23,"1,411",102,243,86,,,48,"2,593",,208,,"17,491","10,327",834,,"22,791","19,415","1,183",,"2,040",85,,"1,046",,,,,
아시아주,베트남,총계,"209,772",77,880,1,"24,740",136,,"27,990",166,"32,151",1,164,7,45,13,"2,175",57,7,337,1,,12,"2,804",,"29,086","8,431","26,142","3,189","1,557",,"2,065","41,312",928,,,1,,"5,297",,,,,
아시아주,베트남,남성,"106,536",52,610,1,"17,296",105,,"12,395",78,"18,721",1,40,7,33,9,922,40,,222,1,,10,"2,523",,"26,481","8,430","9,387","1,255",457,,448,"3,280",661,,,1,,"3,070",,,,,
아시아주,베트남,여성,"103,236",25,270,,"7,444",31,,"15,595",88,"13,430",,124,,12,4,"1,253",17,7,115,,,2,281,,"2,605",1,"16,755","1,934","1,100",,"1,617","38,032",267,,,,,"2,227",,,,,
아시아주,타이,총계,"176,467","144,949",89,,872,45,,380,24,245,,13,6,107,20,56,9,1,13,1,2,21,412,,"21,272",,385,163,162,7,638,"5,463",636,,,1,,475,,,,,
아시아주,타이,남성,"85,352","65,705",41,,54,43,,92,15,46,,12,5,64,13,9,5,,6,1,2,7,308,,"18,264",,94,55,44,2,14,107,110,,,,,234,,,,,
아시아주,타이,여성,"91,115","79,244",48,,818,2,,288,9,199,,1,1,43,7,47,4,1,7,,,14,104,,"3,008",,291,108,118,5,624,"5,356",526,,,1,,241,,,,,
아시아주,우즈베키스탄,총계,"64,556",3,198,,"2,581",3,1,"7,617",78,"2,041",,1,4,49,38,485,12,,15,,,21,315,63,"9,989",,"6,838",803,633,"14,594","1,501","1,825",642,,"13,346",,,860,,,,,
아시아주,우즈베키스탄,남성,"42,646",2,185,,"2,289",2,,"6,611",76,"1,921",,1,4,44,30,399,10,,14,,,17,299,63,"9,838",,"3,328",459,259,"7,389",424,151,592,,"7,597",,,642,,,,,
아시아주,우즈베키스탄,여성,"21,910",1,13,,292,1,1,"1,006",2,120,,,,5,8,86,2,,1,,,4,16,,151,,"3,510",344,374,"7,205","1,077","1,674",50,,"5,749",,,218,,,,,
아시아주,필리핀,총계,"48,469",4,853,,"6,453",112,1,373,193,128,,173,22,21,42,78,64,,45,1,7,"1,624",412,,"20,219",15,"2,563",585,404,13,698,"11,217",565,,,2,1,"1,581",,,,,
아시아주,필리핀,남성,"25,507",3,632,,"3,449",103,,180,126,58,,81,21,16,38,16,24,,19,1,7,143,301,,"18,148",14,428,210,113,6,56,471,284,,,1,1,557,,,,,
아시아주,필리핀,여성,"22,962",1,221,,"3,004",9,1,193,67,70,,92,1,5,4,62,40,,26,,,"1,481",111,,"2,071",1,"2,135",375,291,7,642,"10,746",281,,,1,,"1,024",,,,,
아시아주,몽골,총계,"40,925",274,585,8,"15,054",15,,"6,029",26,"2,182",,24,15,67,120,"1,366",9,,33,,,103,194,,"4,735",,"1,123",929,"3,208",,698,"1,861",821,,,,,"1,446",,,,,
